barcode;amount 
83870868701;2
23154816745;8
94386647663;9
96071904557;7
33960545839;12
84998983882;9
91818366946;1
20481079940;9
99289643389;2
16604116780;9
64452551163;13
11762222758;9
18427149801;5
26328837147;8
85271638174;6
85212488407;13
37075338467;3
79200164085;6
40459661667;10
74486885519;2
42973265370;9
47043761873;5
55379137745;14
37630940303;5
26286798224;12
29472770105;1
50165901843;17
81843106631;4
20643716154;12
26878196646;3
37819682818;16
37283892316;8
55113894610;8
83442717516;5
72036388148;12
51822334145;10
54249303014;11
62415289978;10
48580624254;3
55193266787;9
91760178979;27
25246675860;6
48339922946;3
10967780559;4
23802034551;3
88117330572;12
35111190130;24
74829652697;2
32537338044;1
67750402154;2
54048117740;9
39550497258;21
37698853337;8
53980156717;7
11066239219;13
54630867812;5
42690229710;7
25183099291;31
86307759906;19
92039429471;6
95612980931;4
77529215396;1
62131764808;4
54659915295;8
88748584952;26
76142864472;6
70578268949;14
38788165643;14
65550805641;18
24629406037;21
20263360234;8
99579760733;5
79640643523;19
28167851228;13
84582759742;11
88797047036;14
64569051186;16
32997000998;3
84240455718;7
48764134431;3
61281570955;10
53854706570;9
18325172836;6
89165174817;1
92355784523;11
83055303143;7
77027744443;9
91753421433;6
33145761171;6
22703894256;2
22266509503;14
22550446903;5
88466527059;9
26769272552;3
14458104125;14
52695195629;17
69739417852;9
37438291379;5
73496692478;7
65260918686;1
80412997014;8
49807103583;10
21900036237;14
57321726915;1
46531425595;3
99919162954;6
51462658492;7
23238237860;10
85271994290;8
87378195569;16
39419366215;9
34583849641;10
70282711858;5
52279537142;7
81411223549;3
89555067465;2
31001846877;11
42430399636;12
29797055465;9
33960545839;12
49707608617;6
92914420488;10
45649602355;2
42679766458;10
82608217018;10
65302726826;7
95932235630;8
10344485450;5
50688167315;4
49293191392;15
31401592563;6
51718060245;1
45933746375;4
56565288819;10
63828843150;8
11161746355;17
59838145236;11
88293727338;21
27777019788;20
82170105522;2
33577281742;5
16674773471;11
23345371775;9
83922377242;15
50773665264;12
64657795057;2
50477373003;15
88612575760;7
83642911338;7
79432571583;9
39674291990;4
51948305230;5
16596055832;9
81894613652;8
17964155952;9
20378886458;5
19886106077;5
41889529870;9
70490058280;7
85357959004;2
83227127827;6
54700453014;8
69632881900;10
94766953964;8
67700183053;1
41303213305;20
42546266439;6
76137339069;12
32196089980;9
64060203292;2
21872339837;16
52130956640;22
87237154328;4
96483720138;3
52793798665;8
19324187997;11
68501951509;23
41451794796;5
98963023019;15
38531374786;1
26926000418;27
65257926015;10
40595559309;8
29595262232;3
43064201119;3
99657232635;1
68220258879;4
30970649811;11
19090874369;10
11957916435;10
93176329627;14
77390032609;8
32157281411;2
62105975578;10
84194022111;9
24883981763;8
54628715819;8
55387995069;13
43971204702;4
94493847999;4
43408253838;9
61263880552;10
83061664744;5
72576583497;3
21520352635;3
45559613809;3
37569140122;2
49839671251;5
79716397362;2
52810596676;15
80159773961;14
39796042868;8
71244307962;7
96296740671;5
94874652615;18
30505065843;2
23345371775;9
59337202775;5
57957925698;9
37685605636;11
88973370899;24
46011649573;11
34556198294;3
15803274542;2
13684495064;5
24331092092;1
42344341106;14
91462640795;7
36914522660;1
29288332746;3
30736947366;17
48687217033;2
29156276090;19
81546125995;16
25382482219;1
87435233980;12
61241325959;9
65984690830;1
43363293245;6
53985856564;8
75969896863;1
98285269062;6
86518174328;4
83922377242;15
31122397265;14
36807343633;2
47022229671;6
11321390932;4
28734831982;14
24823417576;5
26335134023;4
25020328456;3
41632909920;8
28022758641;6
87539816973;2
80869715267;4
59995548677;3
22277715359;2
47044608201;4
90143755049;1
54830273639;6
97769113332;6
93685463829;3
61272415471;2
54962593198;11
29034937128;1
17528754878;5
69063863455;8
75094782148;8
24048436813;12
52634041330;13
20782323313;9
26294044671;3
37154459817;4
17496409678;3
63652830826;1
82608217018;10
10998289622;18
79178946475;8
77167076113;7
64495382101;4
74601812070;2
60259932410;2
57868430749;5
48848432922;10
81760026678;7
45778115962;3
77015198571;6
41187506381;10
15572411319;3
20240495266;3
41104078676;10
92222103901;27
50616145868;7
54178026764;10
47591194376;6
43891324006;2
34022924235;4
63223170697;9
68510241508;1
10105501010;4
81269127116;7
38435499777;9
86963320508;4
58825872377;23
15483292026;1
88342127908;10
73271027094;5
28671414767;16
37589970811;18
43199462825;19
39293628375;7
49864955872;4
12836517444;3
46821686565;16
27046979847;11
67466755285;10
25183099291;31
29370981317;13
52130956640;22
53988807493;4
62913813889;9
15755798595;12
65407197723;6
14288916738;2
65958452344;14
90935696745;7
13973629135;4
62041623744;17
49986895936;6
79991160022;10
52318678663;7
69735620154;1
40532888721;9
86363915968;15
91660053575;8
12100577380;7
43393968303;6
22489392878;12
66920008411;4
23816341809;4
27157581093;10
56165128960;3
91090978702;6
45374811119;10
55281180809;1
77299943897;8
22702515302;8
20026759095;11
57053225708;2
28865497271;11
75494123492;10
42410284947;12
55869616602;1
40367785014;19
54962375898;17
76655414934;13
42410284947;12
94143522498;22
46883587300;10
39468056587;14
78036958743;14
73199138979;5
84255264718;8
50257314448;7
63555447722;10
61942674636;10
35966325649;19
80699832454;22
74245960106;10
61201029256;12
99048424078;9
16080242043;6
17996610664;11
20741205464;7
42982801332;8
95055436709;9
52695195629;17
29103138322;9
66873232408;2
26908591233;17
10969942873;3
73083891556;8
87122812685;3
29092181368;9
10857655527;4
51588480066;9
97793949242;23
87161321817;14
18758785295;17
43684597644;1
44522067210;10
97052755982;9
65220396742;14
84489301652;9
64410955056;14
67316500891;18
96750417998;2
18598274527;4
18325172836;6
40588202839;6
48552953983;10
79702034690;7
55032329783;8
71244307962;7
22857778026;8
81300638476;5
31359603150;3
13969614467;10
10177478974;4
36326995094;9
59892747848;4
38819034559;12
32297089263;14
36693597356;7
31166914023;1
79634776360;5
27611285203;2
48262302534;9
93990829799;7
25944044217;1
33862726050;17
69309439045;6
30149744590;2
37719614812;6
90888956538;1
32581790522;3
55150032702;13
80432348900;4
92328627619;13
15892725657;21
77749381566;2
73948099243;2
24355169344;3
70366784809;11
50582426230;5
50376759926;10
72584467507;1
48511367597;3
39553184473;3
79891480061;4
68523296108;10
27227592949;3
48744797971;5
20349775909;9
48516987757;7
77840911123;8
82806052629;4
59672970666;6
21703945801;16
62529019598;8
24395729915;3
42844762894;15
45525884695;5
46199535556;5
51335922552;10
88498230834;9
68793320037;6
95981184858;10
66555863097;3
25592792120;16
20641507948;2
86781657972;8
89896639106;20
44077272995;3
80893626829;10
54310611013;1
74158968382;6
35916183779;10
41822763690;7
80270578474;8
20506897676;9
84318933698;1
10591847069;18
10984232685;3
74854925356;11
32761770890;10
27219355493;9
29542962668;3
94511880941;18
49786930161;6
25739357812;5
32997000998;3
61755279894;16
69712368484;5
58650468121;7
90360016554;1
68799226918;8
87078161911;5
54544214941;9
76423622146;4
82484890677;17
55320761448;2
87064494767;8
19651461919;5
91720399401;2
98069559643;17
98221025169;10
41027145532;11
17304469675;3
94809609752;5
45394130689;21
52634041330;13
63728269527;12
73263044395;12
45250546015;14
74117692229;2
68307868821;10
45456178171;8
40654309779;4
83498944125;1
58130274043;12
28244193461;13
46869358634;10
91720947183;9
43900762291;14
74032744837;18
52675574032;4
28637845074;8
28407016341;6
93641390011;7
56244847817;4
75461266322;7
28175859414;13
39130709300;5
47061243432;5
36017913525;8
43428799142;6
66940843993;1
58502862470;11
42054299843;6
50461530752;17
55522454674;4
66168709602;1
39468056587;14
30420735536;1
58779851610;15
10636639348;13
92458508252;6
21763454598;10
10661853289;9
14165856426;11
84168471387;10
60433855845;5
34750131768;2
63573101545;10
51462658492;7
43927927954;5
37970521702;9
36907844843;10
17444496902;3
41546851619;1
88827170650;11
14592026058;6
16140259750;18
19013783593;2
50571695017;31
85168329788;5
69456155488;2
81687104675;9
39651008714;10
27046979847;11
28656024746;16
37167327442;24
94602795025;10
71193673814;6
55185030731;14
95223074001;2
47113418197;5
58270280850;27
64905809353;8
30367789707;10
85777137255;1
89838028921;23
82111728224;13
19813017245;10
96449640483;13
86791877407;5
96657014618;2
34790148283;1
83864674169;9
82897485163;19
24068579407;6
67191453839;3
15927760861;8
57196535956;12
54006215551;3
61141629347;7
58056672136;9
19771266720;7
47867950624;7
82229491821;11
57838862550;10
84798787120;14
25953864531;11
70274205041;5
97148926324;10
11806365154;16
76084153592;15
42824968273;7
31293066233;8
50129543383;6
33008566094;5
22495809106;20
22865737118;6
23226594554;8
36044716840;10
97731672488;2
92586931240;3
74386880601;1
15050619056;15
41867303317;16
18437560023;8
94617278059;12
28510113487;11
59972174261;4
47122300575;7
74883844605;1
43565307416;6
12926602921;10
35914136868;12
22093882102;19
61437479569;7
55113894610;8
55299740930;7
34125273114;3
50960808437;11
31961827440;2
51345815017;5
48831605122;5
40978746378;9
23931137008;3
60157296587;9
39004761856;17
88117330572;12
94745741878;4
62517787181;15
33595446427;3
64642811261;12
70339475719;10
89838028921;23
64523250214;6
50273470438;6
77518162259;19
52110669143;28
55599671855;10
44689125426;6
20635825309;7
74844046374;8
13083314734;3
89125643259;6
63498837335;7
24733232052;17
69319544607;19
49711997502;3
36978137995;7
48000729943;8
61442808461;6
97118055040;10
30448207915;5
72068791137;1
23757545071;13
45598881968;2
44584992309;1
87455305369;3
27549518663;5
76403304932;10
46792611310;2
73967008589;13
85767215018;5
14153379267;7
57376676656;16
85886268113;12
19635402541;18
31656879623;9
26341759940;9
13891825924;5
20767276210;15
62927449919;9
30672925324;1
85819386954;11
70643856429;8
71025386973;1
38506433967;5
69531953853;18
91550679962;11
76349951413;11
99624907124;8
38510868839;3
27047080806;12
24533627063;4
11014963172;8
92221759308;6
90695071194;10
85769817969;8
88582660154;4
87152217336;8
21343895178;1
12928806668;2
86963726215;13
51725324477;12
49775909922;1
75120572101;14
10419283530;13
42557682272;7
47881663086;7
80976470606;4
85557998043;6
27707954289;10
51100598157;5
91875214698;3
42414069078;12
67189149087;5
72558940926;2
30168916679;7
10206431360;9
14086551345;14
53433685991;7
51546045551;10
97621604127;7
79798180272;1
26428027511;5
34159858417;5
85632169275;15
26926000418;27
10559100192;11
37297733439;12
51349489620;19
34526833212;5
29600305665;8
96110965899;10
80158917850;5
43037379236;6
71257310537;9
67171315768;14
89150184772;12
91870217498;9
46883573973;4
34238024508;2
54412491602;3
10998289622;18
93435012263;2
38971324467;12
85085939030;1
53617057844;8
64749265804;8
14523563214;5
79554253956;2
65622986434;5
53594688531;16
63893311225;7
80701883104;7
44306465586;7
59134854360;16
57193890361;1
26632306521;10
11836327543;12
78284966838;17
93758350873;4
55700891340;3
21136245496;15
60471983585;8
95419992092;10
38901519372;10
50272348842;10
65000167176;1
85517221065;19
69309439045;6
85937450322;2
64569051186;16
18288348400;2
97846337076;9
84995861736;2
79640643523;19
71944004213;5
11639407260;4
77172001922;10
64957010943;6
70660463549;15
35966325649;19
99602205845;1
19340115586;20
10875980256;10
33156510241;14
79355899669;3
92542662538;9
42344341106;14
28493340792;2
67861655118;9
52179494667;16
61614945737;4
54348237976;9
71356420673;6
56163335060;11
81460447921;5
58121386314;9
96234621331;13
82252068873;3
50870722055;2
85500770460;2
87869998598;22
26632306521;10
63813934663;6
64328419710;9
64551484341;7
51911118370;16
45850191570;6
86516026326;9
16999413317;4
88827170650;11
34920350060;10
46654482693;12
34698197669;10
30741415884;5
34568427452;2
96449640483;13
63922196167;5
65604676766;11
15241845518;7
53154737383;8
42950598984;9
21791088142;7
88470037780;6
60014608008;9
76372504873;1
16140259750;18
24678062420;4
77234598438;6
85769817969;8
47061967639;8
54087929593;3
37997369338;7
55086120666;9
78063083360;3
28658729950;5
99990550444;3
41276358583;7
16375590612;9
20767276210;15
48838207738;11
29340097221;7
31511251146;6
19324187997;11
56686922709;13
36826723719;9
90576141156;14
16035604490;17
14548860137;1
33394168214;12
23102548201;8
53635274267;9
98216653544;4
95571838812;3
48664587126;12
44118069640;2
45772120354;16
84494320144;7
74111476732;10
16252896159;16
56350099830;18
72662596080;2
74093578016;7
29370981317;13
38742589766;7
90632511947;3
43846114299;10
19026149002;4
46729258682;9
64587712668;12
17061535048;4
45412456302;5
65778143742;12
81894613652;8
14536438848;15
97667843604;3
73242918254;16
94271532765;29
34738590404;9
99204074423;10
87917810457;1
59867172340;9
44085654441;2
63840731133;1
57683088415;12
43030441588;17
82679988343;1
76249001580;6
46417350613;12
62230676075;3
73740007066;10
27051798472;5
35720235383;6
12324339825;9
45256315935;10
80691396262;7
49118315244;23
25815138350;12
72036388148;12
63071144253;5
50256904569;8
22858308494;5
42616665394;1
11146518499;13
99519486017;13
10586413313;6
35582741384;7
29725233674;7
52559816977;16
38236997575;8
81356690046;7
81291803763;9
59726000812;3
46326856450;2
41063510437;9
32761770890;10
34409445357;2
28986048087;10
45394130689;21
39286956393;1
58987301368;2
28459538344;10
26882535407;13
13282189962;10
30970649811;11
74842958123;3
88692950167;9
36297732903;9
15656894512;6
63728269527;12
77827069694;5
64691677783;2
19651461919;5
12820640279;16
33313384732;1
17500237983;7
20544552651;5
83299539485;10
94915886309;2
45123642235;2
83375049103;17
71069920672;12
23757545071;13
79815185460;10
95389556580;11
30617050962;10
97476386372;3
59796224145;8
41356609317;5
79044757219;9
58944356958;8
69776836189;2
26566192870;14
91610089746;13
25232260371;9
52695195629;17
84332839478;4
24601943122;9
26927388576;3
38559888538;3
73530019231;13
12554733148;7
11627803510;8
27872399016;18
52357449535;7
61755364448;8
39818046793;12
89274719018;10
62041623744;17
97396848086;5
99180642272;7
62357359461;10
71310624849;2
95911709038;15
74107623458;9
99170128600;1
51078354965;17
51349489620;19
43775339807;8
86251301952;6
13616793291;12
94511880941;18
29948017865;12
77930151091;3
55706114476;14
36487300281;17
29158897454;4
89012159942;11
96108182835;2
13906929466;7
91850447676;9
37959802806;8
57415058776;15
14892873434;5
42258543930;6
68488832508;11
73242918254;16
46210467297;1
30648419037;7
31686782553;2
19569206147;7
82150768360;5
48971358942;14
62199096831;7
61755279894;16
75970405195;10
57524321335;6
65302726826;7
29826208717;8
75694487246;2
30392970098;16
82441139641;6
12646060982;8
62263345625;12
50171050854;9
31610161331;18
59311127883;17
68793283515;1
51859548743;1
38238207950;6
67517854762;18
81300638476;5
31845951358;9
58270280850;27
63685524476;4
31004465921;8
88973370899;24
55379137745;14
59134854360;16
74963477854;3
96342616073;11
61942636622;9
88104419477;5
64762963622;2
57796856755;12
11883862487;1
88059783658;8
77488812137;13
48838207738;11
83958838985;7
55725218784;3
75266463741;11
41296778088;7
89831094293;7
55135677948;19
83442717516;5
18093210667;10
33120000488;10
61904324137;2
22967858533;10
49398946538;10
55801444399;2
65070756696;13
91757794105;23
28795011192;11
84974051728;16
76386524696;7
40940554776;5
86865701546;7
29006131079;8
86015722108;19
65774362943;6
88059783658;8
74388155552;1
69020665993;9
91616809853;18
87869998598;22
38776408388;2
54981269258;4
38752534494;4
82586339667;23
11062852306;3
87375993226;5
59515591590;7
41848149164;4
17679903489;11
20481079940;9
39400863816;16
27392294209;9
73205380300;1
53114690443;6
12609990413;8
82586339667;23
61740234780;1
25183099291;31
50013545405;6
83103805179;8
84841439226;3
23404721461;18
43570896934;1
25176202645;4
12729643841;2
85827989225;5
15368968202;4
85211223386;10
46654482693;12
81608182479;9
54368571276;3
38559013511;12
60284455705;4
73113423560;6
14710053174;7
24359957247;5
78336904634;12
57028601280;7
68691920976;3
17112700777;2
61263619662;20
59438114349;7
21094759005;1
56952537356;9
24091963800;16
24569580598;10
73271027094;5
22366919940;8
61240458620;3
60055551990;4
22349546394;4
66657401746;8
52265964138;10
14692367451;9
78485806322;4
51911118370;16
14327109886;8
17282387127;5
20541059595;14
67728447391;14
90174028737;1
47578927052;13
85055188797;7
13522128307;10
49701781985;1
58856134441;3
61760839612;19
81498117197;3
67517854762;18
90742068768;9
20735608964;12
60761177851;10
17982694578;5
90960677255;9
38114229805;7
38487530580;8
25592792120;16
19052289140;6
32456274424;4
97430765105;20
37819682818;16
59467066521;11
85523881684;5
47626897318;8
96630359483;4
79973166341;7
13716007213;10
61927747637;6
87926492738;6
47307672586;7
54679531275;4
20315114794;8
66265085588;3
44471149041;12
16056551319;5
55775106858;5
38148160252;8
19835023632;15
68496574809;2
20841391096;2
65861764049;5
21958197776;3
52357621429;1
98833107102;10
38971324467;12
90134864677;3
99678572251;9
14523563214;5
52739049168;9
19443438871;9
72187332248;3
38334777459;18
53774378787;8
39919125632;9
92011338424;6
23507328895;13
87630741314;9
90035889490;14
61263619662;20
65992652242;8
77473946630;3
14539837581;7
78788786633;11
93355318787;3
43226261880;20
50571695017;31
30396765677;5
87378195569;16
65690412488;12
13255935652;11
16861993251;5
90814849311;7
73883745522;3
49284114012;2
14330893298;3
28253348142;1
85771223401;5
64642811261;12
30293507239;7
55687634438;10
91550679962;11
55517429158;5
76018605257;27
18664368737;9
73234180941;2
76789550765;9
91616809853;18
20829536198;5
66709262681;13
93669317269;13
32630040291;5
75866262911;13
77518162259;19
97946099894;5
20958134403;26
81546125995;16
39757412147;10
76084153592;15
56450633299;10
66450864998;9
51892021079;11
13139527809;3
22740492440;9
85271638174;6
39322336585;1
63016238167;17
45281718022;20
39255361678;6
29060413772;8
32297089263;14
74032744837;18
59228951658;11
40113680616;7
42617135140;2
16674773471;11
49627110907;7
57474839548;10
64710360781;13
31045117633;8
15413363225;17
82586339667;23
75223774524;8
27536044639;5
48357726610;12
24228791797;8
99992749308;1
94594862088;8
45234487261;9
95498691294;7
46629124461;11
15356398211;4
78222067326;5
41744577765;10
86675384833;5
82557458193;2
66657401746;8
60055551990;4
95389556580;11
50567855953;11
94727014609;3
70792450575;11
13928708328;8
76178913089;4
90515177865;20
92310775689;10
87161321817;14
87546923093;11
17637000134;7
51194083217;7
21795049456;10
34176558066;10
59467066521;11
62333390421;13
81269127116;7
71489602029;2
93289292647;17
74285005985;7
29087955632;7
57907714469;8
45772120354;16
69472526941;2
82312650466;4
91304823662;2
39143639301;10
80736530655;2
14951644928;1
32925572988;1
43900762291;14
52905551162;13
21631601498;6
21649274457;17
26422308770;12
90188332942;10
93101115413;11
50950188248;6
89155529725;3
22657905729;6
63244662535;11
57012603252;6
10678523683;6
40773257818;11
32023974610;11
22962092284;19
25285410405;15
20923063541;5
14260343048;9
98045978490;8
12257031498;12
15789283166;10
68002920281;8
61725523812;6
36572250034;10
39550497258;21
52905551162;13
68106954504;3
32421265697;10
60979945798;4
38094605456;8
56772837030;10
78036958743;14
68348063795;4
21113166476;14
10231156269;7
22800375280;10
15892725657;21
14475417590;4
36314732158;13
12391123829;7
23199087856;2
45484934708;7
34794694762;6
69066935789;6
89898952814;2
41008494745;10
57642360138;1
80553616320;9
71084880324;7
38559013511;12
